Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
11,TICKET-ADV152 — Verify every healthcheck works in isolation,Task,1,2,TICKET-ADV152,,architecture,"GOAL: confirm each container's healthcheck transitions from starting to healthy within its retry budget, with interval/timeout/retries/start_period tuned per service. DONE WHEN: docker inspect on reconx-postgres returns healthy within 10 s of up -d postgres. The same inspect on reconx-kafka returns healthy within 30 s. The same inspect on reconx-backend returns healthy within 60 s (Liquibase runs in that window)."
12,TICKET-ADV153 — Compose smoke-test script,Task,1,3,TICKET-ADV153,,architecture,"GOAL: write scripts/smoke-test.sh — one script that brings the stack up and proves end-to-end correctness in seven steps (stack up, login, trade POST, Kafka event, Postgres audit row, Prometheus target, Grafana datasource). DONE WHEN: bash scripts/smoke-test.sh runs to completion with exit code 0 on a freshly-cloned repo. The script exits non-zero with a clear message if any individual step fails. It uses set -euo pipefail and no wait loop can hang indefinitely (bounded retry counters)."
13,TICKET-ADV154 — CI workflow with GHCR push,Task,2,3,TICKET-ADV154,,architecture,"GOAL: write a GitHub Actions workflow that lints, tests, builds and pushes Docker images to GHCR on every push to main, with lint/test/build-and-push jobs chained via needs. DONE WHEN: .github/workflows/ci.yml runs on push to main/develop, on PR, and on v* tag pushes. The build-and-push job only runs on push events to main or tag refs (not on PRs). Pushed images appear on the repo's Packages page tagged with both :latest and the commit SHA, and docker pull succeeds from a laptop after docker login ghcr.io."
14,TICKET-ADV155 — Liquibase validate step in CI,Task,2,2,TICKET-ADV155,,architecture,"GOAL: catch migration mistakes (pending changesets, checksum mismatches, XML parse errors) in CI before any test runs. DONE WHEN: a Liquibase validate step is the first step inside the test job, after Java setup. The job fails fast (within 30 s) if a previously-applied changeset has been edited. The validate step runs against an ephemeral Postgres service container, not the dev database."
15,TICKET-ADV156 — JaCoCo coverage gate at 85%,Task,2,2,TICKET-ADV156,,architecture,"GOAL: fail the CI build if line coverage drops below 85% or branch coverage drops below 70%. DONE WHEN: a coverage-gate execution is bound to the verify Maven phase in backend/pom.xml. The CI log contains a line starting with Rule satisfied or Rule violated for the bundle (proves the gate ran with real data). Hand-deleting test coverage (e.g. removing a test class) causes CI to fail with a specific coverage-below-threshold message."
16,TICKET-ADV157 — Static analysis (Checkstyle),Task,2,2,TICKET-ADV157,,architecture,"GOAL: add Checkstyle to the backend build so style and structural rules are enforced in CI. DONE WHEN: maven-checkstyle-plugin is configured to fail the build on warning-level violations and bound to the validate phase. A pragmatic backend/checkstyle.xml exists (Google checks as a base with the noisiest rules disabled). The plugin is not disabled wholesale — specific violations are either fixed or explicitly suppressed with a justifying comment."
17,TICKET-ADV158 — k6 load test (200 concurrent trade creations),Task,3,3,TICKET-ADV158,,architecture,"GOAL: run a 2-minute load test with 200 virtual users posting trades, asserting p95 latency under 800 ms and error rate under 2%. DONE WHEN: loadtest/trade-creation.js runs via k6 run and completes in roughly 2 minutes. The script declares thresholds for p95 latency, p99 latency and error rate, and the run output reports them. Each VU logs in once (in setup()) and reuses the JWT across iterations rather than logging in on every request."
18,"TICKET-ADV159 — Grafana screenshots (baseline, under load, recovery)",Task,3,2,TICKET-ADV159,,architecture,"GOAL: capture three rendered Grafana panels — steady state, under load, and recovery — for the README and demo deck. DONE WHEN: three PNG files exist at docs/screenshots/grafana-baseline.png, grafana-under-load.png and grafana-recovery.png. Each screenshot is taken via Grafana's ""Direct link rendered image"" share option, not an OS screenshot. The README references all three images inline."
19,TICKET-ADV160 — Mermaid architecture diagrams,Task,4,2,TICKET-ADV160,,architecture,"GOAL: produce two Mermaid diagrams in the README — runtime architecture and CI/CD flow. DONE WHEN: the README contains a ""Runtime architecture"" section with a Mermaid graph showing every service in the 7-service stack, and a ""CI/CD + deploy flow"" section with a Mermaid graph from developer push through GHCR to the demo laptop. Both diagrams render correctly on the GitHub PR preview (no syntax errors, no missing arrows)."
20,TICKET-ADV161 — Comprehensive top-level README,Task,4,3,TICKET-ADV161,,architecture,"GOAL: write a README a recruiter can read in 60 seconds on a phone and a new joiner can use to bring the stack up in three commands. DONE WHEN: the Quick start section is above the fold and consists of exactly three commands. The table of contents links to ten sections: Architecture, Tech stack, API documentation, Monitoring, Kafka topics, Load test results, CI/CD pipeline, Deploy runbook, Default credentials, Troubleshooting. All three ADV159 Grafana screenshots are inline (captured today, not Day 6 placeholders) and the README links to the Swagger UI URL."
21,TICKET-ADV162 — Demo deck (10 slides),Task,4,2,TICKET-ADV162,,architecture,"GOAL: produce a 10-slide deck that anchors the 20-minute demo without becoming a teleprompter. DONE WHEN: the deck has exactly 10 slides matching the standard outline (title, problem, architecture, tech stack, live demo intro, Kafka/recon, CI/CD, monitoring, learnings, Q&A). No slide contains more than three bullet points. The deck file is committed to the repo (docs/demo-deck.pdf or docs/demo-deck.pptx) so it survives the demo machine."
22,"TICKET-ADV163 — Rehearsal (20-minute runsheet, run twice)",Task,4,3,TICKET-ADV163,,architecture,"GOAL: produce a minute-by-minute runsheet and execute two full rehearsals before the live demo slot. DONE WHEN: docs/demo-runsheet.md exists with a minute-by-minute timing breakdown matching the 20-minute structure. Rehearsal 1 happens by 15:30 with a chaos-monkey interruption (unplug ethernet, close a tab, Ctrl+C a curl) so the team practices graceful recovery. Rehearsal 2 happens by 16:15 with the trainer asking two or three hard Q&A bank questions."
23,TICKET-ADV164 — Tag release v1.0.0,Task,4,2,TICKET-ADV164,,architecture,"GOAL: cut and push an annotated v1.0.0 tag from a green main, verifying CI rebuilds and tags the GHCR images. DONE WHEN: git tag -l shows v1.0.0 and git push origin v1.0.0 succeeded. The tag-triggered workflow appears in GitHub Actions and runs to green. Both reconx-backend and reconx-frontend packages on GHCR show a v1.0.0 tag alongside the SHA and latest tags."
24,TICKET-ADV165 — Retrospective,Task,4,2,TICKET-ADV165,,architecture,"GOAL: fill in a structured team retrospective in docs/retrospective.md and link it from the README. DONE WHEN: docs/retrospective.md is committed with five sections filled in: What worked, What didn't, What would you change, What surprised you, Technical notes for the next cohort. The team list at the bottom names each member with their primary role (lead, backend, frontend, DevOps/CI). The README's Team section links to the retrospective."
