Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
11,TICKET-ADV070 — PUT /api/v1/recon/results/{id}/resolve,Task,1,2,TICKET-ADV070,,backend,"GOAL: mark a single recon break resolved with a mandatory analyst note. DONE WHEN: PUT with { note: ... } returns 200 + updated break. status becomes RESOLVED, resolvedAt is now, resolutionNote carries the text. Empty/missing notes return 400."
12,TICKET-ADV071 — GET /api/v1/audit/trades/{tradeRef},Task,1,3,TICKET-ADV071,,backend,"GOAL: expose Envers revision history for a trade as JSON snapshots. DONE WHEN: returns an array of revisions oldest-first. Each entry has revisionId, revisionTimestamp, revisionType (ADD/MOD/DEL), changedBy, full snapshot. A never-edited trade still shows the initial ADD revision from creation."
13,TICKET-ADV072 — JWT issuance on /api/auth/login,Task,2,3,TICKET-ADV072,,backend,"GOAL: authenticate username/password, return a signed JWT carrying the user's roles. DONE WHEN: POST /api/auth/login with credentials returns 200 + { token, tokenType: Bearer, expiresIn }. Token decodes cleanly (sub, roles, iat, exp claims). Wrong credentials return 401, not 200 with a token."
14,TICKET-ADV073 — JwtAuthenticationFilter,Task,2,3,TICKET-ADV073,,backend,"GOAL: read the Bearer token per request, validate it, populate the security context. DONE WHEN: valid Authorization: Bearer arrives at the controller with SecurityContextHolder authentication populated. Missing/malformed/expired token still flows the chain but lands unauthenticated (downstream 401). Filter runs exactly once per request, even on async dispatch."
15,TICKET-ADV074 — SecurityFilterChain + RBAC,Task,2,3,TICKET-ADV074,,backend,"GOAL: wire the filter into the chain + enforce URL-level RBAC for trades/recon/audit. DONE WHEN: SecurityFilterChain disables CSRF, session STATELESS, permits /api/auth/login + /actuator/health, authenticates the rest. JWT filter runs before UsernamePasswordAuthenticationFilter. VIEWER cannot POST, TRADER cannot DELETE, RECON_ANALYST can resolve — enforced at URL layer + reinforced with @PreAuthorize."
16,TICKET-ADV075 — MockMvc: authenticated create returns 201,Task,3,2,TICKET-ADV075,,backend,"GOAL: @WebMvcTest posting a valid trade as TRADER, asserting 201 + Location. DONE WHEN: class @WebMvcTest(TradeController.class), @MockBean TradeService. Method @WithMockUser(roles=TRADER) + CSRF postprocessor on the request. Asserts status 201, Location contains the new id, JSON body fields ($.id, $.tradeRef)."
17,TICKET-ADV076 — MockMvc: unauthenticated returns 401,Task,3,1,TICKET-ADV076,,backend,"GOAL: prove a POST with no auth is rejected before the controller. DONE WHEN: method has no @WithMockUser. Assertion is status().isUnauthorized() (401), not isForbidden() (403). No service interaction verified — request never reaches the controller."
18,TICKET-ADV077 — MockMvc: VIEWER returns 403,Task,3,1,TICKET-ADV077,,backend,"GOAL: prove an authenticated wrong-role user gets 403 on a state-changing endpoint. DONE WHEN: runs with @WithMockUser(roles=VIEWER). Assertion is status().isForbidden() (403). Service stub not called — denial happens at the security layer, not the controller."
19,TICKET-ADV078 — Full lifecycle integration test with Testcontainers,Task,3,3,TICKET-ADV078,,backend,"GOAL: drive a real Postgres-backed Spring Boot through the full trade lifecycle over HTTP. DONE WHEN: @SpringBootTest(RANDOM_PORT) on a PostgreSQLContainer(postgres:16-alpine) via @ServiceConnection. Ordered tests log in as admin@db.com, capture JWT, then POST /trades, GET /trades, PATCH /status, POST /recon/run, PUT /recon/results/{id}/resolve — every status code asserted. Green on a fresh machine with Docker."
20,TICKET-ADV079 — Verify Liquibase ran on a fresh DB,Task,3,2,TICKET-ADV079,,backend,"GOAL: prove every Liquibase changeset applies cleanly on an empty Postgres + seed lands. DONE WHEN: a second integration test spins up its own PostgreSQLContainer, asserts databasechangelog row count >= expected. Asserts >=10 rows in trades with deleted_at IS NULL (seed). Catches a forgotten-to-commit changeset XML — fails immediately on a clean container."
21,TICKET-ADV080 — API versioning + deprecation,Task,3,2,TICKET-ADV080,,backend,"GOAL: establish /api/v1/... as the contract prefix + show clean endpoint deprecation. DONE WHEN: every controller @RequestMapping carries /api/v1/. An example deprecated endpoint returns 410 Gone with Deprecation: true, a Sunset date header, a Link header to the successor. README note: breaking changes get a new version segment; old segment works until its sunset date."
