Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
11,"TICKET-ADV134 — Dead-Letter Queue wiring (DefaultErrorHandler + recoverer)",Task,3,3,TICKET-ADV134,,db-backend,"GOAL: configure a DefaultErrorHandler that publishes records to a *-dlq topic on the same partition number after retries are exhausted. DONE WHEN: a @Configuration class declares a DefaultErrorHandler bean built from a DeadLetterPublishingRecoverer; the destination resolver maps each failed record to a TopicPartition named record.topic() + -dlq with the same record.partition(); the trade-events listener container factory is wired to this handler; deserialization exceptions are added to the not-retryable list so poison pills go straight to DLQ without retries."
12,"TICKET-ADV135 — Retry strategy with exponential backoff",Task,3,2,TICKET-ADV135,,db-backend,"GOAL: tune the error handler's backoff so retries follow an exponential schedule (roughly 1s, 2s, 4s) and stop after about three attempts before the message lands in the DLQ. DONE WHEN: the ExponentialBackOff is constructed with initial interval 1000 ms and multiplier 2.0; setMaxElapsedTime caps total retry wait at roughly 8 seconds yielding three retries before DLQ publish; a test that throws on every retry shows three retry attempts in the logs, then a DLQ publish, then the offset commits with no infinite loop; you can state in one sentence why fixed backoff is the wrong choice here."
13,"TICKET-ADV136 — DLQ consumer and admin replay endpoint",Task,3,3,TICKET-ADV136,,db-backend,"GOAL: build a consumer on trade-events-dlq that records each failed message, plus an admin REST endpoint that re-publishes a single DLQ message back to the main topic. DONE WHEN: a @Component DlqConsumer listens on trade-events-dlq (groupId dlq-monitor), receives the ConsumerRecord plus the exception-message header, persists a DlqMessage row (eventId, tradeRef, originalTopic, partition, offset, payload, reason, firstSeen) and logs at ERROR; POST /api/v1/admin/dlq/replay accepts required eventId and dryRun (default false) — dry-run returns what would be replayed, real run re-publishes via TradeEventProducer and deletes the DLQ row; the endpoint is protected with @PreAuthorize hasRole ADMIN."
14,"TICKET-ADV137 — Event sourcing rebuild (TradeAggregator)",Task,3,3,TICKET-ADV137,,db-backend,"GOAL: build a TradeAggregator service whose rebuild(tradeRef) method reads every event for that trade from audit_log, ordered by timestamp, and folds them into current state. DONE WHEN: a @Service TradeAggregator exposes Optional<JsonNode> rebuild(String tradeRef); it reads AuditLogEntry rows via findByTradeRefOrderByOccurredAtAsc; TRADE_CREATED and TRADE_UPDATED set the running state to the entry's afterData while TRADE_CANCELLED sets it to null; the method returns Optional.empty() when there are no events and Optional.ofNullable(state) otherwise, so a cancelled trade yields an empty Optional."
15,"TICKET-ADV138 — Admin audit endpoint for trade event history",Task,3,2,TICKET-ADV138,,db-backend,"GOAL: expose GET /api/v1/audit/trades/{tradeRef}/events so admins and recon analysts can fetch the full event history for any trade, oldest first. DONE WHEN: a @RestController at /api/v1/audit/trades has a @GetMapping /{tradeRef}/events method returning List<TradeEvent>; it is protected with @PreAuthorize hasAnyRole ADMIN, RECON_ANALYST; the response is ordered by event timestamp ascending and includes every event with no pagination; unauthenticated requests return 401 and authenticated users without either role return 403."
16,"TICKET-ADV139 — Kafka metrics via Micrometer",Task,4,2,TICKET-ADV139,,architecture,"GOAL: expose Kafka client metrics on the Prometheus actuator endpoint so Grafana can scrape them. DONE WHEN: application.yml enables management.metrics.binders.kafka.enabled true; the consumer config sets metric.reporters to KafkaClientMetrics under spring.kafka.consumer.properties; management.endpoints.web.exposure.include contains prometheus; curling /actuator/prometheus and grepping kafka_consumer returns at least kafka_consumer_records_lag, kafka_consumer_records_consumed_total and kafka_consumer_fetch_total with non-null values after publishing a few events."
17,"TICKET-ADV140 — Grafana panel: consumer lag by topic",Task,4,2,TICKET-ADV140,,architecture,"GOAL: add a Time Series panel to Grafana showing consumer lag aggregated per topic, with red/yellow thresholds. DONE WHEN: a panel titled Consumer lag by topic exists in the Kafka dashboard row; the query is sum by (topic) (kafka_consumer_records_lag); thresholds are yellow at 100 and red at 1000; after publishing 100 messages and pausing a consumer for 30 seconds the panel visibly shows lag growth for the affected topic."
18,"TICKET-ADV141 — Grafana panel: messages/sec produced vs consumed",Task,4,2,TICKET-ADV141,,architecture,"GOAL: add a Time Series panel that overlays produce rate and consume rate so a slow consumer is visible at a glance. DONE WHEN: a panel titled Throughput: produced vs consumed shows two series labelled consumed and produced; the consumed query is sum(rate(kafka_consumer_records_consumed_total[1m])) and the produced query is sum(rate(kafka_producer_record_send_total[1m])); during steady state the two lines track each other closely and deliberately throttling a consumer makes them diverge visibly."
19,"TICKET-ADV142 — Grafana panel: DLQ count and alert",Task,4,3,TICKET-ADV142,,architecture,"GOAL: add a Stat panel showing total messages routed to the trade-events DLQ, plus an alerting rule that fires on any DLQ activity. DONE WHEN: a Stat panel titled DLQ message count shows sum(kafka_consumer_records_consumed_total{topic=trade-events-dlq}); an alerting rule named KafkaDlqMessages fires when that expression is greater than 0 for one minute with severity critical; the alert annotation includes a summary and a description pointing operators to /api/v1/admin/dlq; deliberately failing a consumer fires the alert in Grafana within about 90 seconds."
20,"TICKET-ADV143 — Integration test: end-to-end happy path (Testcontainers)",Task,4,3,TICKET-ADV143,,db-backend,"GOAL: write a @SpringBootTest that boots Testcontainers Kafka, publishes 100 events, and waits until 100 audit rows are persisted using Awaitility instead of Thread.sleep. DONE WHEN: a KafkaPipelineIT test class is annotated @SpringBootTest and @Testcontainers; a static @Container KafkaContainer uses confluentinc/cp-kafka:7.6.0; a @DynamicPropertySource method registers spring.kafka.bootstrap-servers from the container; the test publishes 100 TradeEvent.created events with distinct trade refs and asserts via Awaitility that auditRepo.count() increases by 100 within 30 seconds, passing consistently via ./mvnw -Dtest=KafkaPipelineIT verify."
21,"TICKET-ADV144 — Integration test: DLQ routing on consumer failure",Task,4,3,TICKET-ADV144,,db-backend,"GOAL: write a Testcontainers test proving a failing listener causes the message to land on trade-events-dlq after retries are exhausted. DONE WHEN: a DlqRoutingIT test class boots Testcontainers Kafka the same way as KafkaPipelineIT; it uses @MockBean ReconciliationEngine with Mockito.doThrow so every recon dispatch fails; it publishes one TradeEvent.created with tradeRef TRD-DLQ-1 and asserts via Awaitility that a raw Kafka consumer subscribed to trade-events-dlq sees a record with that tradeRef within 30 seconds; the raw consumer sets JsonDeserializer.TRUSTED_PACKAGES to * so it can deserialise the DLQ payload."
22,"TICKET-ADV145 — AI-assisted Kafka consumer config review",Task,4,2,TICKET-ADV145,,db-backend,"GOAL: use Claude to review the Kafka consumer configuration for production readiness, then file a PR recording each finding with an explicit accept/reject/defer decision. DONE WHEN: the Kafka section of application.yml and KafkaErrorHandlerConfig.java are pasted into Claude with a focused review prompt covering backpressure/poll tuning, error handling and retry/DLQ, idempotence, observability, and security; the prompt tells Claude to list findings only (no whole-file rewrite) with config key, recommended value, and one-line justification each; a PR description lists every finding with a team decision column (accept/reject/defer) and one-line rationale; at least one finding is accepted, one rejected, and one deferred with reasons stated."
