Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
11,TICKET-ADV087 — Grafana panel: API request rate by endpoint,Task,3,2,TICKET-ADV087,,backend,"GOAL: time-series panel showing requests-per-second broken out by URI. DONE WHEN: panel renders a non-empty series after exercising a few endpoints. Each line labelled by URI, not a tangle of method/status/instance. Y-axis unit reads as requests-per-second."
12,TICKET-ADV088 — Grafana panel: API response time P50/P95/P99,Task,3,2,TICKET-ADV088,,backend,"GOAL: three-line panel showing median, 95th, 99th percentile latency per endpoint. DONE WHEN: panel shows three labelled lines P50/P95/P99. Lines non-zero after exercising the API. Axis renders in human-readable time units (auto ms/us scale)."
13,TICKET-ADV089 — Grafana panel: trade_created_total over time,Task,3,2,TICKET-ADV089,,backend,"GOAL: time-series panel showing trades-per-second created. DONE WHEN: panel renders a non-flat line after POSTing a handful of trades. Legend reads as a trade-create rate, not a raw cumulative count. Unit is trades-per-second."
14,TICKET-ADV090 — Grafana histogram panel for reconciliation_duration_seconds,Task,3,2,TICKET-ADV090,,backend,"GOAL: visualise recon engine latency distribution as a heatmap (density over time). DONE WHEN: heatmap renders with cells coloured by frequency after ~a dozen reconciliations. Y-axis represents bucket boundaries. X-axis represents time."
15,TICKET-ADV091 — Grafana stat panel: recon_break_count,Task,3,2,TICKET-ADV091,,backend,"GOAL: single big-number tile showing current open-break count, coloured by severity. DONE WHEN: stat panel renders the current break count as one large number. Colour changes by threshold (green low, yellow mid, red high). Closing a break in the DB drops the number within one scrape interval."
16,TICKET-ADV092 — Grafana pie chart: trades by status,Task,3,2,TICKET-ADV092,,backend,"GOAL: pie chart of current trade breakdown across statuses (PENDING, MATCHED, UNMATCHED, DISPUTED, CANCELLED). DONE WHEN: pie renders one slice per status. Slice labels show status name + count. Changing a trade's status and re-scraping shifts proportions within one scrape interval."
17,TICKET-ADV093 — Alert: recon_break_count > 50 for 5 min,Task,3,2,TICKET-ADV093,,backend,"GOAL: Prometheus alert firing when open breaks stay above 50 continuously for 5 min. DONE WHEN: rule appears under /rules. Manually inflating the open-break count and waiting fires the alert (visible under /alerts). Alert has a severity label + a summary annotation."
18,TICKET-ADV094 — Alert: API P95 latency > 500ms for 3 min,Task,3,2,TICKET-ADV094,,backend,"GOAL: Prometheus alert on P95 HTTP latency above 500ms continuously for 3 min. DONE WHEN: rule appears under /rules. A slow/throttled endpoint for 3+ minutes fires the alert. Alert annotation includes the current P95 value."
19,TICKET-ADV095 — Custom Spring Boot Starter: recon-audit-starter,Task,4,3,TICKET-ADV095,,backend,"GOAL: package an audit-event publisher as a reusable starter that auto-configures on a consumer's classpath. DONE WHEN: new Maven module recon-audit-starter builds independently. recon-service depends on it via a single coordinate. Removing the dependency removes the auto-wired bean cleanly; re-adding re-enables it. reconx.audit.enabled=false in the consumer disables the auto-config."
20,"TICKET-ADV096 — JMX beans: toggle caching, adjust recon tolerance at runtime",Task,4,3,TICKET-ADV096,,backend,"GOAL: ReconConfig MBean letting an operator change price tolerance + toggle caching at runtime from JConsole, plus a clearCache() op. DONE WHEN: JConsole shows reconx:type=ReconConfig in the MBeans tree. Editing PriceTolerance changes the value the engine reads on the next run. Invoking clearCache() empties the Caffeine caches without a restart."
21,TICKET-ADV097 — Performance test: 100 concurrent requests,Task,4,3,TICKET-ADV097,,backend,"GOAL: drive 100 trade-creation requests at concurrency 10, observe load live on Grafana. DONE WHEN: 100 trades POST successfully (201) under the load tool. The ADV087 request-rate panel visibly spikes. The ADV088 P95 panel reports a non-trivial value during the spike. You record throughput (req/s) + P95 latency from the tool and Grafana."
